threshold,sensitivity,specificity,precision,f1,bal_accuracy,youden
0.54,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.55,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.56,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.5700000000000001,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.5800000000000001,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.59,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.6,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.61,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.62,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.63,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.64,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.65,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.66,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.67,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
